Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,Dataset
WeightedLogReg,0.54,0.5119798234552333,0.5122265122265123,0.5119798234552333,0.5118845500848896,dataset_prepared.csv
CostSensitiveSVM,0.55,0.4739386296763346,0.4538690476190476,0.4739386296763346,0.4357366771159875,dataset_prepared.csv
CostSensitiveTree,0.475,0.451765447667087,0.45238095238095233,0.451765447667087,0.45196899710326466,dataset_prepared.csv
CostSensitiveForest,0.575,0.5036780159730979,0.5060606060606061,0.5036780159730979,0.4758101816163547,dataset_prepared.csv
CostSensitiveAda,0.455,0.4469314838167297,0.44937343358395987,0.4469314838167297,0.44488299253902375,dataset_prepared.csv
CostSensitiveXGB,0.565,0.49548129466162255,0.49287017078428125,0.49548129466162255,0.46910755148741423,dataset_prepared.csv
WeightedLogReg,0.5346938775510204,0.5350193256030921,0.5359291672364282,0.5350193256030921,0.5318785197103781,dataset_smote.csv
CostSensitiveSVM,0.5428571428571428,0.5431827269092363,0.5443046629290305,0.5431827269092363,0.5400911772593189,dataset_smote.csv
CostSensitiveTree,0.5102040816326531,0.5100626416100227,0.5101111557519753,0.5100626416100227,0.5095422394234619,dataset_smote.csv
CostSensitiveForest,0.5102040816326531,0.5106290817006531,0.511110337141265,0.5106290817006531,0.5050505050505051,dataset_smote.csv
CostSensitiveAda,0.5428571428571428,0.5429494868719179,0.5430355235042735,0.5429494868719179,0.5426666666666666,dataset_smote.csv
CostSensitiveXGB,0.5428571428571428,0.5428828468612555,0.5428885630498533,0.5428828468612555,0.5428495268559244,dataset_smote.csv
